epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6631,0.8824,2.09283,1.2709,0.6235,0.55265,0.64195,0.45479,0.9458,1.82429,1.62333,0.000471156,0.000471156,0.000471156
2,29.855,0.84089,1.40967,1.20747,0.49678,0.6165,0.65324,0.4215,1.24182,1.34874,1.89539,0.000934982,0.000934982,0.000934982
3,43.8482,0.86468,1.33227,1.21645,0.51654,0.59603,0.59029,0.40713,1.10572,1.47986,1.86049,0.00138623,0.00138623,0.00138623
4,57.7749,0.87935,1.21277,1.23307,0.57239,0.71554,0.56457,0.38337,1.2421,1.46093,1.8596,0.00137241,0.00137241,0.00137241
5,71.7022,0.84499,1.09125,1.21275,0.60692,0.65188,0.67941,0.45321,1.20598,1.09844,1.85015,0.00135355,0.00135355,0.00135355
6,85.6687,0.80959,0.98502,1.17854,0.72096,0.69481,0.74505,0.53565,1.03027,0.89179,1.57899,0.00133469,0.00133469,0.00133469
7,101.07,0.76743,0.93518,1.15152,0.79032,0.60861,0.74482,0.5657,0.86449,0.8994,1.41182,0.00131582,0.00131582,0.00131582
8,116.526,0.76403,0.90729,1.16359,0.85646,0.71317,0.79961,0.64726,0.73979,0.76983,1.27808,0.00129696,0.00129696,0.00129696
9,131.67,0.75974,0.86855,1.14318,0.76156,0.76315,0.82077,0.6085,0.9548,0.77869,1.47187,0.0012781,0.0012781,0.0012781
10,147.062,0.73419,0.84636,1.13751,0.75555,0.73168,0.76523,0.5871,0.86255,0.72793,1.39767,0.00125923,0.00125923,0.00125923
11,162.312,0.71457,0.8251,1.12842,0.70341,0.75878,0.79687,0.60718,0.83083,0.80127,1.3815,0.00124037,0.00124037,0.00124037
12,177.669,0.72579,0.79299,1.12952,0.69115,0.83326,0.78861,0.62329,0.76804,0.7771,1.31929,0.00122151,0.00122151,0.00122151
13,193.429,0.68524,0.79617,1.10593,0.75685,0.80865,0.84972,0.69324,0.69914,0.69373,1.24237,0.00120265,0.00120265,0.00120265
14,210.699,0.7117,0.77593,1.12902,0.77719,0.69157,0.79518,0.61213,0.85737,0.68463,1.37668,0.00118378,0.00118378,0.00118378
15,227.739,0.68308,0.7516,1.09874,0.8233,0.71697,0.85936,0.70398,0.7263,0.69187,1.26554,0.00116492,0.00116492,0.00116492
16,244.33,0.67599,0.75129,1.10289,0.75404,0.78483,0.84545,0.69682,0.72189,0.64629,1.24731,0.00114606,0.00114606,0.00114606
17,261.314,0.67584,0.72298,1.10059,0.77535,0.80272,0.85352,0.7373,0.57837,0.65342,1.13777,0.0011272,0.0011272,0.0011272
18,278.162,0.67103,0.70415,1.09734,0.79194,0.65052,0.82812,0.66513,0.73335,0.8585,1.26286,0.00110833,0.00110833,0.00110833
19,296.033,0.66451,0.71412,1.09765,0.75631,0.80633,0.85969,0.65989,0.88603,0.62011,1.40384,0.00108947,0.00108947,0.00108947
20,316.145,0.65367,0.71594,1.09325,0.94068,0.76499,0.93131,0.79895,0.565,0.56614,1.12593,0.00107061,0.00107061,0.00107061
21,334.157,0.64116,0.70772,1.0788,0.9046,0.80702,0.90764,0.74998,0.65901,0.54743,1.18893,0.00105174,0.00105174,0.00105174
22,351.497,0.63691,0.67326,1.07764,0.91867,0.72291,0.88084,0.74425,0.61857,0.56225,1.14026,0.00103288,0.00103288,0.00103288
23,368.828,0.64935,0.65745,1.08199,0.78573,0.89081,0.9208,0.74863,0.63577,0.62609,1.18166,0.00101402,0.00101402,0.00101402
24,386.124,0.61364,0.68159,1.06928,0.86647,0.79253,0.89919,0.76989,0.61682,0.56869,1.14202,0.000995156,0.000995156,0.000995156
25,403.668,0.61797,0.65499,1.06697,0.78522,0.93648,0.93505,0.78717,0.61312,0.51647,1.16236,0.000976293,0.000976293,0.000976293
26,420.923,0.62879,0.65279,1.0742,0.91487,0.74486,0.91409,0.7655,0.6013,0.52912,1.12994,0.00095743,0.00095743,0.00095743
27,438.443,0.62731,0.64704,1.07396,0.88859,0.70875,0.82272,0.70593,0.59071,0.65758,1.14227,0.000938567,0.000938567,0.000938567
28,455.787,0.61492,0.65127,1.06649,0.80645,0.87445,0.90811,0.75718,0.6388,0.52542,1.1663,0.000919704,0.000919704,0.000919704
29,473.239,0.60192,0.6274,1.0653,0.85579,0.88098,0.91717,0.78262,0.6213,0.56386,1.18105,0.000900842,0.000900842,0.000900842
30,490.607,0.60393,0.61111,1.05804,0.77678,0.89513,0.90585,0.78293,0.5442,0.52407,1.08125,0.000881979,0.000881979,0.000881979
31,508.564,0.60165,0.62147,1.05939,0.80886,0.88252,0.92827,0.75233,0.70746,0.52724,1.22047,0.000863116,0.000863116,0.000863116
32,524.116,0.61112,0.62046,1.07103,0.8487,0.86311,0.92867,0.77813,0.62786,0.58824,1.15557,0.000844253,0.000844253,0.000844253
33,539.686,0.60201,0.60912,1.06855,0.88586,0.79959,0.92895,0.80117,0.5648,0.55534,1.11749,0.00082539,0.00082539,0.00082539
34,555.108,0.58471,0.60068,1.05255,0.82569,0.83679,0.90109,0.77186,0.58532,0.56486,1.15607,0.000806528,0.000806528,0.000806528
35,570.439,0.58875,0.60038,1.05718,0.81756,0.88691,0.91744,0.79793,0.48033,0.52202,1.04401,0.000787665,0.000787665,0.000787665
36,586.179,0.58788,0.58968,1.05156,0.7372,0.87257,0.8571,0.73176,0.53727,0.58972,1.08389,0.000768802,0.000768802,0.000768802
37,601.612,0.58216,0.59255,1.04641,0.85854,0.82482,0.9152,0.79477,0.57296,0.49049,1.09618,0.000749939,0.000749939,0.000749939
38,617.199,0.57521,0.58951,1.04619,0.90558,0.80546,0.93749,0.8139,0.55001,0.47979,1.08414,0.000731076,0.000731076,0.000731076
39,633.02,0.57984,0.58699,1.05176,0.84103,0.84598,0.92036,0.81461,0.49574,0.47907,1.03962,0.000712214,0.000712214,0.000712214
40,648.498,0.57589,0.57595,1.0438,0.91351,0.83198,0.93642,0.79211,0.52926,0.48891,1.08294,0.000693351,0.000693351,0.000693351
41,664.445,0.55878,0.56119,1.0372,0.80883,0.84456,0.89738,0.77725,0.57445,0.47989,1.0997,0.000674488,0.000674488,0.000674488
42,680.086,0.55745,0.54674,1.04047,0.88813,0.79657,0.91664,0.81733,0.47233,0.51598,1.03012,0.000655625,0.000655625,0.000655625
43,696.026,0.57645,0.57149,1.05472,0.80068,0.85942,0.92044,0.80372,0.49362,0.47936,1.03727,0.000636762,0.000636762,0.000636762
44,711.488,0.56272,0.56266,1.03365,0.87249,0.88234,0.94372,0.83475,0.47228,0.4539,1.03286,0.0006179,0.0006179,0.0006179
45,727.271,0.55387,0.52479,1.03136,0.91398,0.78025,0.90711,0.82278,0.44402,0.50156,1.00483,0.000599037,0.000599037,0.000599037
46,742.588,0.54163,0.5347,1.0289,0.90343,0.87519,0.93148,0.82728,0.48055,0.4487,1.02686,0.000580174,0.000580174,0.000580174
47,758.457,0.54787,0.55141,1.0336,0.93062,0.76277,0.92453,0.83326,0.44944,0.48528,1.0092,0.000561311,0.000561311,0.000561311
48,773.889,0.54024,0.51146,1.018,0.87326,0.87352,0.93926,0.83973,0.43839,0.43785,1.00565,0.000542448,0.000542448,0.000542448
49,789.727,0.5419,0.54529,1.0261,0.83673,0.92435,0.94264,0.84571,0.43447,0.4123,0.9884,0.000523586,0.000523586,0.000523586
50,805.25,0.52794,0.52096,1.02105,0.83323,0.85164,0.92095,0.82874,0.40672,0.46488,0.97515,0.000504723,0.000504723,0.000504723
51,821.316,0.52821,0.50548,1.0188,0.7993,0.92479,0.94022,0.82428,0.45213,0.44428,1.00165,0.00048586,0.00048586,0.00048586
52,838.976,0.53579,0.51752,1.02606,0.8843,0.80622,0.90034,0.79782,0.47068,0.45208,1.01303,0.000466997,0.000466997,0.000466997
53,856.635,0.54474,0.49975,1.04212,0.79423,0.89546,0.91753,0.83092,0.43317,0.45853,0.98762,0.000448134,0.000448134,0.000448134
54,874.128,0.52742,0.50592,1.02084,0.8814,0.85979,0.93738,0.86543,0.39261,0.42222,0.96592,0.000429272,0.000429272,0.000429272
55,892.039,0.53201,0.50952,1.03277,0.88707,0.83906,0.95303,0.84916,0.45778,0.43524,1.00721,0.000410409,0.000410409,0.000410409
56,909.88,0.52888,0.4776,1.01647,0.85469,0.8081,0.92351,0.82095,0.42406,0.47329,0.98333,0.000391546,0.000391546,0.000391546
57,927.397,0.5202,0.49092,1.01428,0.86428,0.88328,0.92024,0.83433,0.44184,0.42725,1.00517,0.000372683,0.000372683,0.000372683
58,944.686,0.51155,0.49555,1.01401,0.89043,0.83887,0.92836,0.8405,0.42343,0.42612,0.98542,0.00035382,0.00035382,0.00035382
59,962.219,0.5142,0.47778,1.01619,0.85491,0.84613,0.93458,0.82786,0.42246,0.44896,0.98141,0.000334958,0.000334958,0.000334958
60,979.347,0.51783,0.47334,1.01951,0.82463,0.89535,0.92485,0.84035,0.40616,0.41068,0.96534,0.000316095,0.000316095,0.000316095
61,996.876,0.51019,0.47719,1.01527,0.85338,0.85076,0.91705,0.82634,0.44714,0.44091,0.99821,0.000297232,0.000297232,0.000297232
62,1014.15,0.51402,0.46825,1.01538,0.92136,0.82063,0.95629,0.86237,0.41828,0.41577,0.97668,0.000278369,0.000278369,0.000278369
63,1031.53,0.50909,0.45878,1.01935,0.91504,0.82826,0.9481,0.86528,0.42137,0.39846,0.97503,0.000259506,0.000259506,0.000259506
64,1048.74,0.50526,0.46473,1.00815,0.86191,0.89756,0.93973,0.8301,0.41756,0.41931,0.9799,0.000240644,0.000240644,0.000240644
65,1066.32,0.49867,0.44638,1.0046,0.88355,0.87471,0.96049,0.87659,0.40156,0.38282,0.96497,0.000221781,0.000221781,0.000221781
66,1099.36,0.37878,0.41884,1.01774,0.85324,0.92181,0.95612,0.86067,0.39829,0.40047,0.96953,0.000202918,0.000202918,0.000202918
67,1115.09,0.37717,0.40803,1.01616,0.87123,0.91974,0.94752,0.86965,0.39631,0.39966,0.95937,0.000184055,0.000184055,0.000184055
68,1131.22,0.3645,0.39202,1.00254,0.83031,0.91313,0.93673,0.86157,0.38353,0.45607,0.95175,0.000165192,0.000165192,0.000165192
69,1146.7,0.3595,0.37563,1.0165,0.87056,0.88151,0.95161,0.85789,0.40722,0.42081,0.9645,0.00014633,0.00014633,0.00014633
70,1162.49,0.3727,0.36385,1.00375,0.86696,0.85791,0.93833,0.87442,0.37325,0.39589,0.94494,0.000127467,0.000127467,0.000127467
71,1178.66,0.36135,0.3655,1.00801,0.90146,0.84414,0.9372,0.88214,0.37736,0.3872,0.95606,0.000108604,0.000108604,0.000108604
72,1194.91,0.34997,0.35343,1.00169,0.91568,0.85258,0.93764,0.88629,0.38142,0.37911,0.95769,8.97412e-05,8.97412e-05,8.97412e-05
73,1210.62,0.36284,0.36559,1.0035,0.90376,0.85856,0.93909,0.88571,0.38128,0.38779,0.94858,7.08784e-05,7.08784e-05,7.08784e-05
74,1226.67,0.36132,0.34772,1.01686,0.88652,0.84323,0.93822,0.88208,0.378,0.38902,0.94245,5.20156e-05,5.20156e-05,5.20156e-05
75,1242.4,0.35273,0.34076,1.0054,0.8712,0.86274,0.94093,0.87785,0.37505,0.39008,0.93951,3.31528e-05,3.31528e-05,3.31528e-05
